time,temperature_2m (Â°C)
2024-08-30 00:00:00,25.0
2024-08-30 01:00:00,24.7
2024-08-30 02:00:00,24.5
2024-08-30 03:00:00,24.2
2024-08-30 04:00:00,23.9
2024-08-30 05:00:00,23.9
2024-08-30 06:00:00,22.9
2024-08-30 07:00:00,22.4
2024-08-30 08:00:00,22.7
2024-08-30 09:00:00,25.6
2024-08-30 10:00:00,27.6
2024-08-30 11:00:00,29.1
2024-08-30 12:00:00,30.2
2024-08-30 13:00:00,30.6
2024-08-30 14:00:00,29.7
2024-08-30 15:00:00,29.3
2024-08-30 16:00:00,28.1
2024-08-30 17:00:00,27.3
2024-08-30 18:00:00,26.4
2024-08-30 19:00:00,26.2
2024-08-30 20:00:00,26.1
2024-08-30 21:00:00,25.4
2024-08-30 22:00:00,24.7
2024-08-30 23:00:00,24.4
